name,date,time,heat,temp,notes,unit
yuni-na-aw,10/25/21,0,10,170,,C
yuni-na-aw,10/25/21,0.5,10,150,,C
yuni-na-aw,10/25/21,1,10,145,,C
yuni-na-aw,10/25/21,1.5,10,147.5,,C
yuni-na-aw,10/25/21,2,9,150,,C
yuni-na-aw,10/25/21,2.5,9,155,,C
yuni-na-aw,10/25/21,3,8,160,,C
yuni-na-aw,10/25/21,3.5,8,162.5,steam,C
yuni-na-aw,10/25/21,4,8,170,,C
yuni-na-aw,10/25/21,4.5,7,175,pale yellow,C
yuni-na-aw,10/25/21,5,7,180,,C
yuni-na-aw,10/25/21,5.5,7,185,,C
yuni-na-aw,10/25/21,6,6,187.5,,C
yuni-na-aw,10/25/21,6.5,6,190,,C
yuni-na-aw,10/25/21,7,6,195,brown,C
yuni-na-aw,10/25/21,7.5,5,200,,C
yuni-na-aw,10/25/21,8,5,202.5,FC,C
yuni-na-aw,10/25/21,8.5,5,205,,C
yuni-na-aw,10/25/21,9,5,210,,C
