name,date,time,heat,temp,notes,unit
guatemala-acatenango-gesha,7/3/21,0,10,240,,C
guatemala-acatenango-gesha,7/3/21,0.5,10,170,,C
guatemala-acatenango-gesha,7/3/21,1,10,160,,C
guatemala-acatenango-gesha,7/3/21,1.5,9,165,,C
guatemala-acatenango-gesha,7/3/21,2,8,170,steam,C
guatemala-acatenango-gesha,7/3/21,2.5,8,175,,C
guatemala-acatenango-gesha,7/3/21,3,7,180,,C
guatemala-acatenango-gesha,7/3/21,3.5,7,180,,C
guatemala-acatenango-gesha,7/3/21,4,7,185,yellowing,C
guatemala-acatenango-gesha,7/3/21,4.5,6,190,,C
guatemala-acatenango-gesha,7/3/21,5,6,195,brown,C
guatemala-acatenango-gesha,7/3/21,5.5,5,200,,C
guatemala-acatenango-gesha,7/3/21,6,5,200,,C
guatemala-acatenango-gesha,7/3/21,6.5,5,205,FC,C
guatemala-acatenango-gesha,7/3/21,7,5,205,,C
guatemala-acatenango-gesha,7/3/21,7.5,5,210,,C
,,,,,,
