name,date,time,heat,temp,notes
ethiopia-dari-kidame,3/2/22,0,10,200,
ethiopia-dari-kidame,3/2/22,0.5,10,170,
ethiopia-dari-kidame,3/2/22,1,10,160,
ethiopia-dari-kidame,3/2/22,1.5,10,160,
ethiopia-dari-kidame,3/2/22,2,10,160,
ethiopia-dari-kidame,3/2/22,2.5,9,170,
ethiopia-dari-kidame,3/2/22,3,8,180,yellow
ethiopia-dari-kidame,3/2/22,3.5,8,182.5,
ethiopia-dari-kidame,3/2/22,4,7,190,brown
ethiopia-dari-kidame,3/2/22,4.5,7,192.5,
ethiopia-dari-kidame,3/2/22,5,7,197.5,
ethiopia-dari-kidame,3/2/22,5.5,6,202.5,
ethiopia-dari-kidame,3/2/22,6,6,205,
ethiopia-dari-kidame,3/2/22,6.5,6,210,FC
ethiopia-dari-kidame,3/2/22,7,6,212.5,
ethiopia-dari-kidame,3/2/22,7.5,6,215,
ethiopia-dari-kidame,3/2/22,8,6,217.5,
ethiopia-dari-kidame,3/2/22,8.5,6,220,
