name,date,time,heat,temp,notes,unit
ethiopia-korate,12/26/23,0,11,425,,F
ethiopia-korate,12/26/23,0.5,11,350,,F
ethiopia-korate,12/26/23,1,11,305,,F
ethiopia-korate,12/26/23,1.5,11,302.5,steam,F
ethiopia-korate,12/26/23,2,10,305,pale,F
ethiopia-korate,12/26/23,2.5,10,310,yellow,F
ethiopia-korate,12/26/23,3,9,325,,F
ethiopia-korate,12/26/23,3.5,8,340,,F
ethiopia-korate,12/26/23,4,8,350,brown,F
ethiopia-korate,12/26/23,4.5,8,350,,F
ethiopia-korate,12/26/23,5,7,365,FC,F
ethiopia-korate,12/26/23,5.5,7,370,,F
ethiopia-korate,12/26/23,6,6,375,,F
,,,,,,
,,,,,,
,,,,,,
,,,,,,
