name,date,time,heat,temp,notes
yuni-na-aw,2/4/21,0,8,130,
yuni-na-aw,2/4/21,0.5,8,110,
yuni-na-aw,2/4/21,1,8,100,
yuni-na-aw,2/4/21,1.5,9,100,
yuni-na-aw,2/4/21,2,9,100,
yuni-na-aw,2/4/21,2.5,9,105,
yuni-na-aw,2/4/21,3,9,110,
yuni-na-aw,2/4/21,3.5,8,120,
yuni-na-aw,2/4/21,4,8,120,
yuni-na-aw,2/4/21,5,8,130,pale green
yuni-na-aw,2/4/21,6,8,135,
yuni-na-aw,2/4/21,7,8,140,
yuni-na-aw,2/4/21,7.5,8,150,
yuni-na-aw,2/4/21,8,8,160,
yuni-na-aw,2/4/21,9,8,170,
yuni-na-aw,2/4/21,10,8,170,
yuni-na-aw,2/4/21,11,8,180,brown
yuni-na-aw,2/4/21,12,8,185,
yuni-na-aw,2/4/21,13,8,190,
yuni-na-aw,2/4/21,14,6,190,
yuni-na-aw,2/4/21,15,6,190,
