name,date,time,heat,temp,notes,unit
ethiopia-bombe-basha,5/20/22,0,10,250,,C
ethiopia-bombe-basha,5/20/22,0.5,10,205,,C
ethiopia-bombe-basha,5/20/22,1,10,190,,C
ethiopia-bombe-basha,5/20/22,1.5,9,185,,C
ethiopia-bombe-basha,5/20/22,2,9,185,,C
ethiopia-bombe-basha,5/20/22,2.5,8,190,yellow,C
ethiopia-bombe-basha,5/20/22,3,8,190,steam,C
ethiopia-bombe-basha,5/20/22,3.5,7,195,,C
ethiopia-bombe-basha,5/20/22,4,6,200,,C
ethiopia-bombe-basha,5/20/22,4.5,6,200,,C
ethiopia-bombe-basha,5/20/22,5,6,205,,C
ethiopia-bombe-basha,5/20/22,5.5,6,207.5,,C
ethiopia-bombe-basha,5/20/22,6,5,210,brown,C
ethiopia-bombe-basha,5/20/22,6.5,5,211,,C
ethiopia-bombe-basha,5/20/22,7,5,215,,C
ethiopia-bombe-basha,5/20/22,7.5,5,217.5,FC,C
ethiopia-bombe-basha,5/20/22,8,5,220,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
