name,date,time,heat,temp,notes,unit
kenya-nyeri-gichathaini-ab,4/22/24,0,11,400,,F
kenya-nyeri-gichathaini-ab,4/22/24,0.5,11,310,,F
kenya-nyeri-gichathaini-ab,4/22/24,1,11,290,,F
kenya-nyeri-gichathaini-ab,4/22/24,1.5,11,280,,F
kenya-nyeri-gichathaini-ab,4/22/24,2,11,280,,F
kenya-nyeri-gichathaini-ab,4/22/24,2.5,10,290,steam,F
kenya-nyeri-gichathaini-ab,4/22/24,3,9,300,yellow,F
kenya-nyeri-gichathaini-ab,4/22/24,3.5,9,320,,F
kenya-nyeri-gichathaini-ab,4/22/24,4,8,325,brown,F
kenya-nyeri-gichathaini-ab,4/22/24,4.5,8,335,,F
kenya-nyeri-gichathaini-ab,4/22/24,5,7,350,FC,F
kenya-nyeri-gichathaini-ab,4/22/24,5.5,7,350,,F
kenya-nyeri-gichathaini-ab,4/22/24,6,6,355,,F
kenya-nyeri-gichathaini-ab,4/22/24,6.5,6,360,,F
,,,,,,
,,,,,,
,,,,,,
