name,date,time,heat,temp,notes,unit
ethiopia-buno-dambi-uddo,5/9/24,0,11,450,,F
ethiopia-buno-dambi-uddo,5/9/24,0.5,11,375,,F
ethiopia-buno-dambi-uddo,5/9/24,1,11,335,,F
ethiopia-buno-dambi-uddo,5/9/24,1.5,11,325,,F
ethiopia-buno-dambi-uddo,5/9/24,2,10,330,steam,F
ethiopia-buno-dambi-uddo,5/9/24,2.5,10,335,yellow,F
ethiopia-buno-dambi-uddo,5/9/24,3,9,350,,F
ethiopia-buno-dambi-uddo,5/9/24,3.5,9,355,,F
ethiopia-buno-dambi-uddo,5/9/24,4,9,360,,F
ethiopia-buno-dambi-uddo,5/9/24,4.5,8,375,brown,F
ethiopia-buno-dambi-uddo,5/9/24,5,7,380,,F
ethiopia-buno-dambi-uddo,5/9/24,5.5,6,390,FC,F
ethiopia-buno-dambi-uddo,5/9/24,6,5,395,,F
,,,,,,
,,,,,,
,,,,,,
,,,,,,
