name,date,time,heat,temp,notes,unit
papua-new-guinea-kimel-aa,12/30/21,0,10,200,,C
papua-new-guinea-kimel-aa,12/30/21,0.5,10,160,,C
papua-new-guinea-kimel-aa,12/30/21,1,10,150,,C
papua-new-guinea-kimel-aa,12/30/21,1.5,10,150,,C
papua-new-guinea-kimel-aa,12/30/21,2,9,160,,C
papua-new-guinea-kimel-aa,12/30/21,2.5,9,165,,C
papua-new-guinea-kimel-aa,12/30/21,3,9,170,steam,C
papua-new-guinea-kimel-aa,12/30/21,3.5,8,175,,C
papua-new-guinea-kimel-aa,12/30/21,4,8,180,pale yellow,C
papua-new-guinea-kimel-aa,12/30/21,4.5,8,185,,C
papua-new-guinea-kimel-aa,12/30/21,5,7,190,,C
papua-new-guinea-kimel-aa,12/30/21,5.5,6,195,,C
papua-new-guinea-kimel-aa,12/30/21,6,6,197.5,brown,C
papua-new-guinea-kimel-aa,12/30/21,6.5,6,202.5,,C
papua-new-guinea-kimel-aa,12/30/21,7,6,205,FC,C
papua-new-guinea-kimel-aa,12/30/21,7.5,6,207.5,,C
papua-new-guinea-kimel-aa,12/30/21,8,6,210,,C
papua-new-guinea-kimel-aa,12/30/21,8.5,6,210,,C
papua-new-guinea-kimel-aa,12/30/21,9,6,212.5,,C
papua-new-guinea-kimel-aa,12/30/21,9.5,6,212.5,,C
papua-new-guinea-kimel-aa,12/30/21,10,6,215,,C
,,,,,,
