name,date,time,heat,temp,notes,unit
colombia-huila-sidra,1/22/24,0,11,450,,F
colombia-huila-sidra,1/22/24,0.5,11,350,,F
colombia-huila-sidra,1/22/24,1,11,315,,F
colombia-huila-sidra,1/22/24,1.5,11,305,,F
colombia-huila-sidra,1/22/24,2,10,300,,F
colombia-huila-sidra,1/22/24,2.5,10,305,steam,F
colombia-huila-sidra,1/22/24,3,9,315,,F
colombia-huila-sidra,1/22/24,3.5,9,320,,F
colombia-huila-sidra,1/22/24,4,9,330,,F
colombia-huila-sidra,1/22/24,4.5,8,350,brown,F
colombia-huila-sidra,1/22/24,5,8,355,,F
colombia-huila-sidra,1/22/24,5.5,6,370,FC,F
colombia-huila-sidra,1/22/24,6,6,375,,F
colombia-huila-sidra,1/22/24,6.5,6,380,,F
,,,,,,
,,,,,,
,,,,,,
