name,date,time,heat,temp,notes,unit
ethiopia-guji-hambela-dabaye,7/15/22,0,10,240,,C
ethiopia-guji-hambela-dabaye,7/15/22,0.5,10,200,,C
ethiopia-guji-hambela-dabaye,7/15/22,1,10,190,,C
ethiopia-guji-hambela-dabaye,7/15/22,1.5,9,187.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,2,8,190,,C
ethiopia-guji-hambela-dabaye,7/15/22,2.5,8,192.5,yellow,C
ethiopia-guji-hambela-dabaye,7/15/22,3,7,197.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,3.5,6,200,,C
ethiopia-guji-hambela-dabaye,7/15/22,4,6,202.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,4.5,6,207.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,5,6,210,,C
ethiopia-guji-hambela-dabaye,7/15/22,5.5,5,215,brown,C
ethiopia-guji-hambela-dabaye,7/15/22,6,5,217.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,6.5,5,218.5,,C
ethiopia-guji-hambela-dabaye,7/15/22,7,5,220,,C
ethiopia-guji-hambela-dabaye,7/15/22,7.5,5,221,FC,C
ethiopia-guji-hambela-dabaye,7/15/22,8,4,225,,C
ethiopia-guji-hambela-dabaye,7/15/22,8.5,4,225,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
