name,date,time,heat,temp,notes,unit
yuni-xam-tai-washed,8/1/21,0,10,220,,C
yuni-xam-tai-washed,8/1/21,0.5,10,170,,C
yuni-xam-tai-washed,8/1/21,1,10,155,,C
yuni-xam-tai-washed,8/1/21,1.5,10,155,,C
yuni-xam-tai-washed,8/1/21,2,10,160,,C
yuni-xam-tai-washed,8/1/21,2.5,9,165,,C
yuni-xam-tai-washed,8/1/21,3,9,170,steam,C
yuni-xam-tai-washed,8/1/21,3.5,9,175,yellow,C
yuni-xam-tai-washed,8/1/21,4,9,180,,C
yuni-xam-tai-washed,8/1/21,4.5,8,192.5,,C
yuni-xam-tai-washed,8/1/21,5,8,197.5,,C
yuni-xam-tai-washed,8/1/21,5.5,7,200,,C
yuni-xam-tai-washed,8/1/21,6,7,205,brown,C
yuni-xam-tai-washed,8/1/21,6.5,7,210,FC,C
yuni-xam-tai-washed,8/1/21,7,7,215,,C
yuni-xam-tai-washed,8/1/21,7.5,7,220,,C
yuni-xam-tai-washed,8/1/21,8,7,,,C
yuni-xam-tai-washed,8/1/21,8.5,7,,,C
