name,date,time,heat,temp,notes,unit
yuni-xam-tai-natural,1/18/21,0,9,100,,C
yuni-xam-tai-natural,1/18/21,0.5,9,90,,C
yuni-xam-tai-natural,1/18/21,1,9,90,,C
yuni-xam-tai-natural,1/18/21,1.5,9,100,,C
yuni-xam-tai-natural,1/18/21,2,9,105,,C
yuni-xam-tai-natural,1/18/21,2.5,9,110,,C
yuni-xam-tai-natural,1/18/21,3,9,120,,C
yuni-xam-tai-natural,1/18/21,3.5,9,130,,C
yuni-xam-tai-natural,1/18/21,4,9,130,,C
yuni-xam-tai-natural,1/18/21,4.5,9,140,,C
yuni-xam-tai-natural,1/18/21,5,9,140,steam,C
yuni-xam-tai-natural,1/18/21,5.5,9,145,,C
yuni-xam-tai-natural,1/18/21,6,9,150,,C
yuni-xam-tai-natural,1/18/21,6.5,9,150,,C
yuni-xam-tai-natural,1/18/21,7,9,155,,C
yuni-xam-tai-natural,1/18/21,7.5,9,160,,C
yuni-xam-tai-natural,1/18/21,8,9,160,yellow,C
yuni-xam-tai-natural,1/18/21,8.5,9,165,,C
yuni-xam-tai-natural,1/18/21,9,9,170,,C
yuni-xam-tai-natural,1/18/21,9.5,9,170,,C
yuni-xam-tai-natural,1/18/21,10,9,170,,C
yuni-xam-tai-natural,1/18/21,10.5,9,175,smoke,C
yuni-xam-tai-natural,1/18/21,11,6,180,,C
yuni-xam-tai-natural,1/18/21,12,6,180,browning,C
yuni-xam-tai-natural,1/18/21,13,6,180,,C
yuni-xam-tai-natural,1/18/21,14,6,180,,C
yuni-xam-tai-natural,1/18/21,15,6,185,,C
yuni-xam-tai-natural,1/18/21,16,6,185,,C
yuni-xam-tai-natural,1/18/21,17,6,185,,C
yuni-xam-tai-natural,1/18/21,18,6,190,done- a bit uneven,C
