name,date,time,heat,temp,notes,unit
kenya-nyeri-kiaguthu,6/18/23,0,11,400,,F
kenya-nyeri-kiaguthu,6/18/23,0.5,11,310,,F
kenya-nyeri-kiaguthu,6/18/23,1,11,275,,F
kenya-nyeri-kiaguthu,6/18/23,1.5,11,270,,F
kenya-nyeri-kiaguthu,6/18/23,2,11,275,,F
kenya-nyeri-kiaguthu,6/18/23,2.5,11,280,steam,F
kenya-nyeri-kiaguthu,6/18/23,3,10,300,yellow,F
kenya-nyeri-kiaguthu,6/18/23,3.5,10,310,,F
kenya-nyeri-kiaguthu,6/18/23,4,9,325,brown,F
kenya-nyeri-kiaguthu,6/18/23,4.5,9,340,,F
kenya-nyeri-kiaguthu,6/18/23,5,7,350,FC,F
kenya-nyeri-kiaguthu,6/18/23,5.5,6,355,,F
,,,,,,
