name,date,time,heat,temp,notes,unit
papua-new-guinea-kimel-aa,12/3/21,0,10,210,,C
papua-new-guinea-kimel-aa,12/3/21,0.5,10,170,,C
papua-new-guinea-kimel-aa,12/3/21,1,10,165,,C
papua-new-guinea-kimel-aa,12/3/21,1.5,10,165,,C
papua-new-guinea-kimel-aa,12/3/21,2,9,170,,C
papua-new-guinea-kimel-aa,12/3/21,2.5,8,177.5,steam,C
papua-new-guinea-kimel-aa,12/3/21,3,8,180,,C
papua-new-guinea-kimel-aa,12/3/21,3.5,7,187.5,,C
papua-new-guinea-kimel-aa,12/3/21,4,7,190,,C
papua-new-guinea-kimel-aa,12/3/21,4.5,7,195,brown,C
papua-new-guinea-kimel-aa,12/3/21,5,6,200,,C
papua-new-guinea-kimel-aa,12/3/21,5.5,6,202.5,,C
papua-new-guinea-kimel-aa,12/3/21,6,6,205,FC,C
papua-new-guinea-kimel-aa,12/3/21,6.5,5,207.5,,C
papua-new-guinea-kimel-aa,12/3/21,7,5,210,,C
papua-new-guinea-kimel-aa,12/3/21,7.5,5,210,,C
papua-new-guinea-kimel-aa,12/3/21,8,5,210,,C
papua-new-guinea-kimel-aa,12/3/21,8.5,5,210,,C
