name,date,time,heat,temp,notes
ethiopia-hambela-dabaye,2/7/22,0,10,200,
ethiopia-hambela-dabaye,2/7/22,0.5,10,170,
ethiopia-hambela-dabaye,2/7/22,1,10,160,
ethiopia-hambela-dabaye,2/7/22,1.5,10,155,
ethiopia-hambela-dabaye,2/7/22,2,9,160,
ethiopia-hambela-dabaye,2/7/22,2.5,8,167.5,steam
ethiopia-hambela-dabaye,2/7/22,3,8,170,yellow
ethiopia-hambela-dabaye,2/7/22,3.5,8,175,
ethiopia-hambela-dabaye,2/7/22,4,7,180,
ethiopia-hambela-dabaye,2/7/22,4.5,7,185,
ethiopia-hambela-dabaye,2/7/22,5,6,190,
ethiopia-hambela-dabaye,2/7/22,5.5,6,195,
ethiopia-hambela-dabaye,2/7/22,6,6,200,
ethiopia-hambela-dabaye,2/7/22,6.5,6,202.5,
ethiopia-hambela-dabaye,2/7/22,7,6,205,
ethiopia-hambela-dabaye,2/7/22,7.5,6,207.5,FC
ethiopia-hambela-dabaye,2/7/22,8,5,210,
ethiopia-hambela-dabaye,2/7/22,8.5,5,212.5,
