name,date,time,heat,temp,notes,unit
ethiopia-buno-dambi-uddo,2/28/24,0,11,350,,F
ethiopia-buno-dambi-uddo,2/28/24,0.5,11,250,,F
ethiopia-buno-dambi-uddo,2/28/24,1,11,225,,F
ethiopia-buno-dambi-uddo,2/28/24,1.5,11,222.5,,F
ethiopia-buno-dambi-uddo,2/28/24,2,10,225,steam,F
ethiopia-buno-dambi-uddo,2/28/24,2.5,10,240,yellow,F
ethiopia-buno-dambi-uddo,2/28/24,3,9,250,,F
ethiopia-buno-dambi-uddo,2/28/24,3.5,9,260,,F
ethiopia-buno-dambi-uddo,2/28/24,4,8,270,brown,F
ethiopia-buno-dambi-uddo,2/28/24,4.5,7,280,FC,F
ethiopia-buno-dambi-uddo,2/28/24,5,6,290,,F
ethiopia-buno-dambi-uddo,2/28/24,5.5,6,295,,F
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
