name,date,time,heat,temp,notes,unit
kenya-nyeri-gichathaini-ab,12/21/23,0,11,450,,F
kenya-nyeri-gichathaini-ab,12/21/23,0.5,11,360,,F
kenya-nyeri-gichathaini-ab,12/21/23,1,11,310,,F
kenya-nyeri-gichathaini-ab,12/21/23,1.5,11,305,,F
kenya-nyeri-gichathaini-ab,12/21/23,2,10,315,steam,F
kenya-nyeri-gichathaini-ab,12/21/23,2.5,10,325,,F
kenya-nyeri-gichathaini-ab,12/21/23,3,10,335,yellow,F
kenya-nyeri-gichathaini-ab,12/21/23,3.5,9,345,,F
kenya-nyeri-gichathaini-ab,12/21/23,4,8,355,,F
kenya-nyeri-gichathaini-ab,12/21/23,4.5,8,365,brown,F
kenya-nyeri-gichathaini-ab,12/21/23,5,7,375,FC,F
kenya-nyeri-gichathaini-ab,12/21/23,5.5,5,380,,F
kenya-nyeri-gichathaini-ab,12/21/23,6,5,380,,F
kenya-nyeri-gichathaini-ab,12/21/23,6.5,5,385,,F
,,,,,,
,,,,,,
,,,,,,
