name,date,time,heat,temp,notes,unit
yemen-mokha-peaberry,11/27/23,0,11,375,,F
yemen-mokha-peaberry,11/27/23,0.5,11,300,,F
yemen-mokha-peaberry,11/27/23,1,11,250,,F
yemen-mokha-peaberry,11/27/23,1.5,11,250,,F
yemen-mokha-peaberry,11/27/23,2,11,250,steam,F
yemen-mokha-peaberry,11/27/23,2.5,10,250,yellow,F
yemen-mokha-peaberry,11/27/23,3,10,260,,F
yemen-mokha-peaberry,11/27/23,3.5,9,270,,F
yemen-mokha-peaberry,11/27/23,4,9,280,,F
yemen-mokha-peaberry,11/27/23,4.5,9,290,,F
yemen-mokha-peaberry,11/27/23,5,8,300,,F
yemen-mokha-peaberry,11/27/23,5.5,8,305,,F
yemen-mokha-peaberry,11/27/23,6,8,320,brown,F
yemen-mokha-peaberry,11/27/23,6.5,7,325,FC,F
yemen-mokha-peaberry,11/27/23,7,7,335,,F
yemen-mokha-peaberry,11/27/23,7.5,6,345,,F
,,,,,,
