name,date,time,heat,temp,notes,unit
rwanda-karongi-gitesi,3/15/22,0,10,230,,C
rwanda-karongi-gitesi,3/15/22,0.5,10,180,,C
rwanda-karongi-gitesi,3/15/22,1,10,165,,C
rwanda-karongi-gitesi,3/15/22,1.5,10,162.5,,C
rwanda-karongi-gitesi,3/15/22,2,9,165,,C
rwanda-karongi-gitesi,3/15/22,2.5,8,175,,C
rwanda-karongi-gitesi,3/15/22,3,8,180,steam,C
rwanda-karongi-gitesi,3/15/22,3.5,7,185,,C
rwanda-karongi-gitesi,3/15/22,4,7,190,,C
rwanda-karongi-gitesi,3/15/22,4.5,7,195,brown,C
rwanda-karongi-gitesi,3/15/22,5,7,200,,C
rwanda-karongi-gitesi,3/15/22,5.5,6,205,,C
rwanda-karongi-gitesi,3/15/22,6,6,210,first crack,C
rwanda-karongi-gitesi,3/15/22,6.5,6,210,,C
rwanda-karongi-gitesi,3/15/22,7,6,215,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
