name,date,time,heat,temp,notes
ethiopia-guji-hambela-dabaye,11/1/22,0,10,250,
ethiopia-guji-hambela-dabaye,11/1/22,0.5,10,210,
ethiopia-guji-hambela-dabaye,11/1/22,1,10,200,
ethiopia-guji-hambela-dabaye,11/1/22,1.5,10,195,
ethiopia-guji-hambela-dabaye,11/1/22,2,9,200,
ethiopia-guji-hambela-dabaye,11/1/22,2.5,9,202.5,steam
ethiopia-guji-hambela-dabaye,11/1/22,3,8,210,yellow
ethiopia-guji-hambela-dabaye,11/1/22,3.5,7,215,
ethiopia-guji-hambela-dabaye,11/1/22,4,7,217.5,
ethiopia-guji-hambela-dabaye,11/1/22,4.5,7,220,
ethiopia-guji-hambela-dabaye,11/1/22,5,6,225,
ethiopia-guji-hambela-dabaye,11/1/22,5.5,6,230,brown
ethiopia-guji-hambela-dabaye,11/1/22,6,6,230,FC
ethiopia-guji-hambela-dabaye,11/1/22,6.5,6,232.5,
ethiopia-guji-hambela-dabaye,11/1/22,7,6,235,
ethiopia-guji-hambela-dabaye,11/1/22,7.5,6,235,
,,,,,
,,,,,
