name,date,time,heat,temp,notes
yuni-xam-tai-natural,2/27/21,0,10,200,
yuni-xam-tai-natural,2/27/21,0.5,10,150,
yuni-xam-tai-natural,2/27/21,1,10,140,
yuni-xam-tai-natural,2/27/21,1.5,10,140,
yuni-xam-tai-natural,2/27/21,2,10,150,
yuni-xam-tai-natural,2/27/21,2.5,10,155,steam
yuni-xam-tai-natural,2/27/21,3,10,160,
yuni-xam-tai-natural,2/27/21,3.5,10,170,
yuni-xam-tai-natural,2/27/21,4,10,180,yellow
yuni-xam-tai-natural,2/27/21,4.5,10,185,
yuni-xam-tai-natural,2/27/21,5,10,190,
yuni-xam-tai-natural,2/27/21,5.5,9,200,bread
yuni-xam-tai-natural,2/27/21,6,8,205,
yuni-xam-tai-natural,2/27/21,6.5,8,210,
yuni-xam-tai-natural,2/27/21,7,4,220,FC
yuni-xam-tai-natural,2/27/21,7.5,4,220,
yuni-xam-tai-natural,2/27/21,8,4,220,
,,,,,
,,,,,
