name,date,time,heat,temp,notes,unit
ethiopia-kayon-mountain-taroo,7/26/23,0,11,375,,F
ethiopia-kayon-mountain-taroo,7/26/23,0.5,11,290,,F
ethiopia-kayon-mountain-taroo,7/26/23,1,11,250,,F
ethiopia-kayon-mountain-taroo,7/26/23,1.5,11,240,,F
ethiopia-kayon-mountain-taroo,7/26/23,2,10,240,,F
ethiopia-kayon-mountain-taroo,7/26/23,2.5,10,250,steam,F
ethiopia-kayon-mountain-taroo,7/26/23,3,10,255,,F
ethiopia-kayon-mountain-taroo,7/26/23,3.5,9,270,,F
ethiopia-kayon-mountain-taroo,7/26/23,4,9,275,,F
ethiopia-kayon-mountain-taroo,7/26/23,4.5,9,280,brown,F
ethiopia-kayon-mountain-taroo,7/26/23,5,9,295,,F
ethiopia-kayon-mountain-taroo,7/26/23,5.5,9,305,,F
ethiopia-kayon-mountain-taroo,7/26/23,6,8,315,FC,F
ethiopia-kayon-mountain-taroo,7/26/23,6.5,7,325,,F
ethiopia-kayon-mountain-taroo,7/26/23,7,7,330,,F
ethiopia-kayon-mountain-taroo,7/26/23,7.5,7,335,,F
