name,date,time,heat,temp,notes,unit
ethiopia-bombe-basha,6/25/22,0,10,230,,C
ethiopia-bombe-basha,6/25/22,0.5,10,195,,C
ethiopia-bombe-basha,6/25/22,1,10,185,,C
ethiopia-bombe-basha,6/25/22,1.5,10,180,,C
ethiopia-bombe-basha,6/25/22,2,9,180,,C
ethiopia-bombe-basha,6/25/22,2.5,8,187.5,steam,C
ethiopia-bombe-basha,6/25/22,3,8,190,yellow,C
ethiopia-bombe-basha,6/25/22,3.5,7,195,,C
ethiopia-bombe-basha,6/25/22,4,7,200,,C
ethiopia-bombe-basha,6/25/22,4.5,7,205,bread,C
ethiopia-bombe-basha,6/25/22,5,6,210,,C
ethiopia-bombe-basha,6/25/22,5.5,6,212.5,,C
ethiopia-bombe-basha,6/25/22,6,6,215,,C
ethiopia-bombe-basha,6/25/22,6.5,5,217.5,,C
ethiopia-bombe-basha,6/25/22,7,4,220,FC,C
ethiopia-bombe-basha,6/25/22,7.5,4,220,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
