name,date,time,heat,temp,notes,unit
yuni-xam-tai-washed,2/27/21,0,10,150,,C
yuni-xam-tai-washed,2/27/21,0.5,10,135,,C
yuni-xam-tai-washed,2/27/21,1,10,140,,C
yuni-xam-tai-washed,2/27/21,1.5,10,140,,C
yuni-xam-tai-washed,2/27/21,2,10,145,,C
yuni-xam-tai-washed,2/27/21,2.5,10,155,steam,C
yuni-xam-tai-washed,2/27/21,3,10,160,,C
yuni-xam-tai-washed,2/27/21,3.5,10,170,,C
yuni-xam-tai-washed,2/27/21,4,10,180,yellow,C
yuni-xam-tai-washed,2/27/21,4.5,10,190,,C
yuni-xam-tai-washed,2/27/21,5,8,195,,C
yuni-xam-tai-washed,2/27/21,5.5,8,200,bread,C
yuni-xam-tai-washed,2/27/21,6,8,205,,C
yuni-xam-tai-washed,2/27/21,6.5,3,210,FC,C
yuni-xam-tai-washed,2/27/21,7,3,210,,C
yuni-xam-tai-washed,2/27/21,7.5,3,210,,C
,,,,,,
