name,date,time,heat,temp,notes
yuni-xam-tai-washed,1/15/21,0,9,175,
yuni-xam-tai-washed,1/15/21,0.5,9,140,
yuni-xam-tai-washed,1/15/21,1,9,130,
yuni-xam-tai-washed,1/15/21,1.5,9,130,
yuni-xam-tai-washed,1/15/21,2,8,135,
yuni-xam-tai-washed,1/15/21,2.5,8,140,
yuni-xam-tai-washed,1/15/21,3,8,150,steam
yuni-xam-tai-washed,1/15/21,3.5,8,160,
yuni-xam-tai-washed,1/15/21,4,8,165,yellowing
yuni-xam-tai-washed,1/15/21,4.5,8,170,
yuni-xam-tai-washed,1/15/21,5,8,180,
yuni-xam-tai-washed,1/15/21,5.5,7,180,
yuni-xam-tai-washed,1/15/21,6,7,190,
yuni-xam-tai-washed,1/15/21,6.5,6,190,
yuni-xam-tai-washed,1/15/21,7,4,195,browning
yuni-xam-tai-washed,1/15/21,7.5,3,200,
yuni-xam-tai-washed,1/15/21,8,2,200,
yuni-xam-tai-washed,1/15/21,9,2,200,
yuni-xam-tai-washed,1/15/21,10,3,200,
yuni-xam-tai-washed,1/15/21,11,4,200,
yuni-xam-tai-washed,1/15/21,12,4,200,
yuni-xam-tai-washed,1/15/21,13,5,200,
yuni-xam-tai-washed,1/15/21,14,5,200,
yuni-xam-tai-washed,1/15/21,15,5,200,
