name,date,time,heat,temp,notes
yuni-na-aw,11/21/21,0,10,210,
yuni-na-aw,11/21/21,0.5,10,170,
yuni-na-aw,11/21/21,1,10,160,
yuni-na-aw,11/21/21,1.5,9,160,
yuni-na-aw,11/21/21,2,9,162.5,
yuni-na-aw,11/21/21,2.5,8,167.5,
yuni-na-aw,11/21/21,3,8,170,steam
yuni-na-aw,11/21/21,3.5,8,175,yellow
yuni-na-aw,11/21/21,4,7,180,
yuni-na-aw,11/21/21,4.5,7,185,
yuni-na-aw,11/21/21,5,6,190,
yuni-na-aw,11/21/21,5.5,6,195,
yuni-na-aw,11/21/21,6,6,197.5,brown
yuni-na-aw,11/21/21,6.5,6,200,
yuni-na-aw,11/21/21,7,6,202.5,
yuni-na-aw,11/21/21,7.5,4,210,FC
yuni-na-aw,11/21/21,8,4,212.5,
