name,date,time,heat,temp,notes
yuni-na-aw,7/31/21,0,10,200,
yuni-na-aw,7/31/21,0.5,10,155,
yuni-na-aw,7/31/21,1,10,147.5,
yuni-na-aw,7/31/21,1.5,10,150,
yuni-na-aw,7/31/21,2,10,150,
yuni-na-aw,7/31/21,2.5,10,155,
yuni-na-aw,7/31/21,3,9,160,steam
yuni-na-aw,7/31/21,3.5,9,165,yellow
yuni-na-aw,7/31/21,4,8,170,
yuni-na-aw,7/31/21,4.5,8,175,
yuni-na-aw,7/31/21,5,8,180,
yuni-na-aw,7/31/21,5.5,8,185,
yuni-na-aw,7/31/21,6,7,190,
yuni-na-aw,7/31/21,6.5,7,195,bread
yuni-na-aw,7/31/21,7,7,200,
yuni-na-aw,7/31/21,7.5,7,205,
yuni-na-aw,7/31/21,8,7,210,FC
yuni-na-aw,7/31/21,8.5,5,215,
yuni-na-aw,7/31/21,8,5,220,
