name,date,time,heat,temp,notes,unit
nicaragua-dipilto-san-salvador,2/9/24,0,11,425,,F
nicaragua-dipilto-san-salvador,2/9/24,0.5,11,325,,F
nicaragua-dipilto-san-salvador,2/9/24,1,11,280,,F
nicaragua-dipilto-san-salvador,2/9/24,1.5,11,280,,F
nicaragua-dipilto-san-salvador,2/9/24,2,10,290,,F
nicaragua-dipilto-san-salvador,2/9/24,2.5,10,295,steam,F
nicaragua-dipilto-san-salvador,2/9/24,3,9,310,,F
nicaragua-dipilto-san-salvador,2/9/24,3.5,9,320,yellow,F
nicaragua-dipilto-san-salvador,2/9/24,4,9,325,,F
nicaragua-dipilto-san-salvador,2/9/24,4.5,8,340,,F
nicaragua-dipilto-san-salvador,2/9/24,5,7,350,FC,F
nicaragua-dipilto-san-salvador,2/9/24,5.5,7,355,,F
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
