name,date,time,heat,temp,notes,unit
rwanda-karongi-gitesi,1/31/22,0,10,200,,C
rwanda-karongi-gitesi,1/31/22,0.5,10,170,,C
rwanda-karongi-gitesi,1/31/22,1,10,165,,C
rwanda-karongi-gitesi,1/31/22,1.5,9,167.5,,C
rwanda-karongi-gitesi,1/31/22,2,9,170,,C
rwanda-karongi-gitesi,1/31/22,2.5,8,180,steam,C
rwanda-karongi-gitesi,1/31/22,3,8,182.5,yellow,C
rwanda-karongi-gitesi,1/31/22,3.5,7,190,,C
rwanda-karongi-gitesi,1/31/22,4,7,195,,C
rwanda-karongi-gitesi,1/31/22,4.5,6,200,brown,C
rwanda-karongi-gitesi,1/31/22,5,6,202.5,,C
rwanda-karongi-gitesi,1/31/22,5.5,6,205,FC,C
rwanda-karongi-gitesi,1/31/22,6,6,210,,C
rwanda-karongi-gitesi,1/31/22,6.5,6,210,,C
rwanda-karongi-gitesi,1/31/22,7,6,212.5,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
