name,date,time,heat,temp,notes
yuni-xam-tai-washed,11/14/21,0,10,190,
yuni-xam-tai-washed,11/14/21,0.5,10,150,
yuni-xam-tai-washed,11/14/21,1,10,145,
yuni-xam-tai-washed,11/14/21,1.5,9,150,
yuni-xam-tai-washed,11/14/21,2,9,152.5,
yuni-xam-tai-washed,11/14/21,2.5,9,160,
yuni-xam-tai-washed,11/14/21,3,9,165,
yuni-xam-tai-washed,11/14/21,3.5,8,170,yellow
yuni-xam-tai-washed,11/14/21,4,8,175,
yuni-xam-tai-washed,11/14/21,4.5,7,182.5,
yuni-xam-tai-washed,11/14/21,5,7,185,steam
yuni-xam-tai-washed,11/14/21,5.5,7,190,bread
yuni-xam-tai-washed,11/14/21,6,6,195,
yuni-xam-tai-washed,11/14/21,6.5,6,200,
yuni-xam-tai-washed,11/14/21,7,6,202.5,
yuni-xam-tai-washed,11/14/21,7.5,6,205,FC
yuni-xam-tai-washed,11/14/21,8,4,210,
yuni-xam-tai-washed,11/14/21,8.5,4,215,
