name,date,time,heat,temp,notes
papua-new-guinea-baroida-estate,4/10/22,0,10,240,
papua-new-guinea-baroida-estate,4/10/22,0.5,10,180,
papua-new-guinea-baroida-estate,4/10/22,1,10,165,
papua-new-guinea-baroida-estate,4/10/22,1.5,10,160,
papua-new-guinea-baroida-estate,4/10/22,2,9,165,
papua-new-guinea-baroida-estate,4/10/22,2.5,9,170,
papua-new-guinea-baroida-estate,4/10/22,3,8,175,steam
papua-new-guinea-baroida-estate,4/10/22,3.5,8,180,yellow
papua-new-guinea-baroida-estate,4/10/22,4,7,185,
papua-new-guinea-baroida-estate,4/10/22,4.5,7,190,
papua-new-guinea-baroida-estate,4/10/22,5,6,195,
papua-new-guinea-baroida-estate,4/10/22,5.5,6,200,brown
papua-new-guinea-baroida-estate,4/10/22,6,6,202.5,
papua-new-guinea-baroida-estate,4/10/22,6.5,6,207.5,
papua-new-guinea-baroida-estate,4/10/22,7,6,210,first crack
papua-new-guinea-baroida-estate,4/10/22,7.5,6,212.5,
papua-new-guinea-baroida-estate,4/10/22,8,6,215,
