name,date,time,heat,temp,notes,unit
ethiopia-hambela-dabaye,4/18/22,0,10,220,,C
ethiopia-hambela-dabaye,4/18/22,0.5,10,180,,C
ethiopia-hambela-dabaye,4/18/22,1,10,170,,C
ethiopia-hambela-dabaye,4/18/22,1.5,10,170,,C
ethiopia-hambela-dabaye,4/18/22,2,10,170,,C
ethiopia-hambela-dabaye,4/18/22,2.5,9,177.5,,C
ethiopia-hambela-dabaye,4/18/22,3,9,180,steam,C
ethiopia-hambela-dabaye,4/18/22,3.5,8,190,yellow,C
ethiopia-hambela-dabaye,4/18/22,4,8,192.5,,C
ethiopia-hambela-dabaye,4/18/22,4.5,7,200,,C
ethiopia-hambela-dabaye,4/18/22,5,7,200,,C
ethiopia-hambela-dabaye,4/18/22,5.5,7,2005,,C
ethiopia-hambela-dabaye,4/18/22,6,6,210,brown,C
ethiopia-hambela-dabaye,4/18/22,6.5,6,212.5,first crack,C
ethiopia-hambela-dabaye,4/18/22,7,6,215,,C
ethiopia-hambela-dabaye,4/18/22,7.5,6,220,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
