name,date,time,heat,temp,notes,unit
ethiopia-guji-hambela-dabaye,4/27/22,0,10,250,,C
ethiopia-guji-hambela-dabaye,4/27/22,0.5,10,205,,C
ethiopia-guji-hambela-dabaye,4/27/22,1,10,180,,C
ethiopia-guji-hambela-dabaye,4/27/22,1.5,10,180,,C
ethiopia-guji-hambela-dabaye,4/27/22,2,10,180,,C
ethiopia-guji-hambela-dabaye,4/27/22,2.5,8,185,,C
ethiopia-guji-hambela-dabaye,4/27/22,3,8,190,steam,C
ethiopia-guji-hambela-dabaye,4/27/22,3.5,7,195,yellow,C
ethiopia-guji-hambela-dabaye,4/27/22,4,7,197.5,,C
ethiopia-guji-hambela-dabaye,4/27/22,4.5,7,200,,C
ethiopia-guji-hambela-dabaye,4/27/22,5,6,210,,C
ethiopia-guji-hambela-dabaye,4/27/22,5.5,6,210,brown,C
ethiopia-guji-hambela-dabaye,4/27/22,6,6,210,first crack,C
ethiopia-guji-hambela-dabaye,4/27/22,6.5,6,215,,C
ethiopia-guji-hambela-dabaye,4/27/22,7,5,220,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
